"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha185",-0.014751610064752,-0.023,0.307,0.93,-0.008,0.0784,868.297,-0.17629131572311,0.130819793833244,-0.0228126915204511
"alpha186",0.0101330843972582,0.004,0.307,0.92,-0.006,0.0785,910.594,-0.149442435089139,0.15795347768925,0.00406600968601193
"alpha187",0.00428531955351116,0.014,0.315,0.95,0.009,0.0806,899.175,-0.143738399595094,0.171666479103324,0.0136835412009288
"alpha188",-0.00865938394505641,-0.012,0.307,0.93,-0.004,0.0782,894.728,-0.165466987250619,0.141473080499979,-0.012374594126828
"alpha189",-0.00153468204871114,-0.008,0.316,0.95,-0.007,0.0807,912.393,-0.166299667875451,0.149982512129753,-0.00819298082872972
"alpha19",-0.023991851429045,-0.052,1.44,0.97,-0.028,0.3668,1115.139,-0.780915404682335,0.658951265650638,-0.0542347828272263
"alpha190",0.0196256460593764,0.022,0.31,0.96,0.003,0.0789,904.478,-0.132779799537968,0.17683743554197,0.0224811198501247
"alpha191",-0.0103144381916975,-0.011,0.317,0.91,-0.001,0.081,916.947,-0.169222016782519,0.14797893550851,-0.0105638459779877
"alpha192",0.000558289249739441,-0.004,0.316,0.93,-0.004,0.0807,911.8,-0.161431590111077,0.154282680619582,-0.00392087520106119
"alpha2",-0.0162902707168226,-0.048,1.451,0.93,-0.032,0.3685,1140.63,-0.78464079597912,0.666107248300233,-0.051486251538459
"alpha20",0.0283955549081778,0.019,1.448,0.93,-0.009,0.3685,1144.739,-0.703171835913854,0.744554773109607,0.0198746886611137
"alpha21",0.0145180137208188,-0.004,1.449,0.95,-0.019,0.3686,1110.385,-0.733271719482679,0.715979508957522,-0.00464796161928417
"alpha22",0.0485438355856377,0.024,1.445,0.96,-0.025,0.3675,1109.61,-0.700333483054544,0.745147187991221,0.0232567274415862
"alpha23",0.0250405796579443,-0.005,1.459,0.96,-0.03,0.3701,1088.061,-0.745289206631421,0.713448825232171,-0.00666329204280671
"alpha24",0.110630688595492,0.016,1.43,0.94,-0.095,0.3635,1165.634,-0.7001843836374,0.729359793712766,0.0162170382552492
"alpha25",-0.0192725573568969,-0.035,1.434,0.97,-0.016,0.3645,1169.916,-0.759151107868161,0.674485228356997,-0.036282365159088
"alpha26",-0.0100415620786528,0.027,1.438,0.99,0.037,0.3667,1113.092,-0.698097707260762,0.739925206393319,0.0258684372448619
"alpha27",0.0466785945456882,0.01,1.45,0.96,-0.036,0.3678,1124.324,-0.714039376118306,0.735556170922665,0.0107778751942753
"alpha28",-0.0268886563727377,-0.005,1.457,0.96,0.022,0.3713,1092.442,-0.743737396545658,0.713488032733048,-0.00834492147227562
"alpha29",-0.00355853750032842,0.034,1.452,0.95,0.038,0.368,1150.388,-0.689148427241069,0.762358298469667,0.0346726578161502
"alpha3",-0.0303039610800607,-0.059,1.458,0.95,-0.029,0.3702,1111.917,-0.797680800026927,0.660547432071843,-0.0617862327146104
"alpha30",-0.0166487450528535,0.023,1.44,0.95,0.039,0.3668,1123.02,-0.700017710705055,0.740406397570282,0.0216286272277086
"alpha31",0.00646031595033822,0.008,1.435,0.97,0.001,0.3658,1122.224,-0.7167144971652,0.718689253829917,0.00574335814255477
"alpha32",0.0270426047561263,0.067,1.432,0.99,0.04,0.3642,1165.474,-0.649472276214604,0.782942649184454,0.0668633197500363
"alpha33",-0.0513681292442509,0.001,1.439,0.96,0.052,0.3655,1157.248,-0.725214213462125,0.713648020787464,-0.000662286849926498
"alpha34",-0.0435507443925686,-0.031,1.451,0.92,0.013,0.3695,1096.599,-0.763406138024636,0.687554220079131,-0.0330457416961477
"alpha35",0.0808644284026574,0.018,1.425,0.93,-0.063,0.3632,1147.591,-0.69840776092309,0.726201661439439,0.0172392234234259
"alpha36",-0.0382117541853267,-0.052,1.455,0.97,-0.014,0.3694,1108.209,-0.789695484525347,0.665749772142391,-0.0547238155852891
"alpha37",0.0369311217085298,0.009,1.44,0.97,-0.028,0.3664,1117.501,-0.710969446853272,0.729177200849813,0.00938517014514572
"alpha38",0.024628650486476,0.032,1.422,0.99,0.007,0.3616,1179.514,-0.683522305417614,0.738392717804061,0.0308267320728672
"alpha39",0.0175002036571663,0.002,1.451,0.89,-0.016,0.3692,1108.647,-0.720973907388474,0.729756715549821,0.00315457320000339
"alpha4",-0.00209398405781384,-0.007,1.439,0.98,-0.005,0.367,1141.803,-0.736363067977003,0.703120037316358,-0.0101069205309393
"alpha40",0.0316995295090327,0.032,1.436,0.93,0,0.3655,1120.093,-0.694735436648601,0.741036182750077,0.0287687652271026
"alpha41",0.0264871476683808,0.011,1.449,0.92,-0.015,0.3681,1116.396,-0.718388203522409,0.730488184785375,0.0109394081419543
"alpha42",-0.0483734115015077,-0.059,1.448,0.99,-0.011,0.3669,1134.393,-0.793807401811717,0.653905364781241,-0.062937380670244
"alpha43",-0.0271968543319057,-0.046,1.445,0.97,-0.019,0.3678,1133.989,-0.779339788302943,0.665592460369807,-0.0498130225570256
"alpha44",0.013479169492637,0.053,1.427,0.93,0.039,0.3642,1129.733,-0.668008191321878,0.759296197949387,0.0510963027306802
"alpha45",-0.052465303142584,-0.035,1.47,0.97,0.017,0.3726,1092.143,-0.780273442278177,0.689815063088663,-0.0375809665916089
"alpha46",0.0222902127594018,-0.014,1.453,0.91,-0.037,0.3695,1109.793,-0.747874298711561,0.704874370509556,-0.0160116869558515
"alpha47",0.0356430636762513,0.008,1.435,0.94,-0.027,0.3653,1169.68,-0.717172738705819,0.717496819154341,0.0053946234192816
"alpha48",-0.00194945117416985,0.052,1.447,0.96,0.054,0.368,1140.014,-0.670426507900772,0.776180883436496,0.0538051848464249
"alpha49",0.00145091861672303,-0.003,0.513,0.98,-0.005,0.1305,759.554,-0.256803796757356,0.256509437386078,-0.00205665650596167
"alpha5",-0.06546229797094,-0.031,1.435,0.95,0.035,0.3651,1156.715,-0.757347060595403,0.677418697926671,-0.0325380808472827
"alpha50",0.0127874697107856,0.018,0.523,0.93,0.005,0.1329,765.736,-0.237082594318171,0.285874379475704,0.0193506896785618
"alpha51",0.00443416038873721,0.006,0.513,0.94,0.002,0.1308,749.595,-0.244928121655325,0.268128795468324,0.00794545334703459
"alpha52",-0.0352884416146494,-0.037,0.518,0.97,-0.002,0.132,763.012,-0.296757617608279,0.221270911025514,-0.0369516337856635
"alpha53",0.0236404679971985,0.017,0.515,0.95,-0.006,0.1306,815.555,-0.234965855875276,0.279796745321876,0.0186098909228443
"alpha54",-0.0281814600660338,-0.009,0.528,0.94,0.019,0.1341,781.51,-0.270520572617789,0.257181178468702,-0.00865536864115734
"alpha55",0.00949672113252517,-0.001,0.512,0.97,-0.011,0.1305,783.564,-0.251385835471414,0.260766660271308,0.000367727249932581
"alpha56",0.000684047609505942,0.001,0.512,0.97,0,0.1306,756.612,-0.247305763607418,0.264494981991428,0.00329851313655945
"alpha57",-0.00621315945849334,-0.006,0.54,0.97,0,0.1375,713.117,-0.271342359904929,0.26834022489907,-0.00487925389620133
"alpha58",0.000664337972016385,0.004,0.514,0.97,0.004,0.1311,757.789,-0.247074729934285,0.266781194408618,0.00592435506804144
"alpha59",0.0299030118447201,0.029,0.518,0.97,-0.001,0.1321,734.034,-0.223023635091511,0.295430572216605,0.0306618609606836
"alpha6",0.0804057657644499,0.031,1.441,0.93,-0.05,0.3663,1147.504,-0.692855760597064,0.748436058441305,0.0299671645307305
"alpha60",-0.00749611211118351,-0.01,0.509,0.97,-0.003,0.1294,752.062,-0.259985171670851,0.248624792609594,-0.00886255916798255
"alpha61",0.0170797831437649,-0.001,0.504,0.98,-0.018,0.1281,815.538,-0.24815651143524,0.25576168053362,0.000191972426281982
"alpha62",0.0251825600986534,0.003,0.516,0.99,-0.022,0.1314,803.859,-0.250375331136057,0.265379816961797,0.00383110577857278
"alpha63",-0.0223828233998213,0.002,0.508,0.95,0.025,0.1293,763.943,-0.247235000373944,0.260268494020706,0.00316115329203084
"alpha64",-0.0210900781928119,-0.029,0.501,0.97,-0.008,0.1276,791.486,-0.278669733538947,0.222035147432781,-0.0293498734987436
"alpha65",-0.0199732092395906,-0.009,0.529,0.92,0.011,0.1345,763.172,-0.269321691402884,0.259188889066362,-0.00777814030526038
"alpha66",0.00299796529898905,0.013,0.526,0.97,0.01,0.1336,707.038,-0.241791888515653,0.284077934064404,0.0151840973294431
"alpha67",-0.00647723411605085,-0.009,0.526,0.98,-0.002,0.1336,734.315,-0.267164993335003,0.258390158465536,-0.00748285274438311
"alpha68",0.012915669718588,0.008,0.503,0.92,-0.005,0.128,781.68,-0.236525431114148,0.26669064944073,0.00974610620806583
"alpha69",-0.0392232081515915,-0.036,0.528,0.96,0.003,0.1345,733.857,-0.297853937920509,0.230438231684355,-0.0357321049467804
"alpha7",-0.0257634630406582,0.003,1.434,0.94,0.029,0.3648,1167.155,-0.721463980657677,0.712255427441131,0.0010794268793632
"alpha70",0.00683405220231086,0.004,0.511,0.93,-0.003,0.1303,745.821,-0.244739789100756,0.266180519324225,0.00603517613662091
"alpha71",0.0104562705787431,0.021,0.529,0.97,0.01,0.1345,743.351,-0.236482178346574,0.292998316971852,0.0226881018324365
"alpha72",-0.0211320330423876,0.006,0.49,0.95,0.027,0.125,761.31,-0.233459226743889,0.256938546993063,0.00751842945948664
"alpha73",0.0160714567666279,0.011,0.523,0.96,-0.005,0.1337,745.38,-0.244438890611022,0.278984652951934,0.0126088255360967
"alpha74",-0.00211433885772526,-0.022,0.527,0.97,-0.02,0.1338,760.367,-0.281865463122097,0.245442598511851,-0.0216999665745834
"alpha75",-0.000696611796153585,0,0.52,0.96,0.001,0.1325,777.174,-0.256804108393034,0.263531274724085,0.00103715930141771
"alpha76",-0.011651951902144,-0.013,0.525,0.94,-0.002,0.1343,772.624,-0.273555245305872,0.251412775087157,-0.012623979195611
"alpha77",0.0101873492627689,0,0.527,0.97,-0.011,0.1345,768.874,-0.260069111848191,0.267187054507928,0.000910912639465373
"alpha78",-0.00292176641815354,-0.005,0.515,0.95,-0.002,0.1309,730.302,-0.257290798257619,0.257313604840639,-0.00378864741728951
"alpha79",0.0115929247730122,0.004,0.512,0.96,-0.008,0.1306,727.146,-0.246283560402113,0.266105326044362,0.00546536574219363
"alpha8",0.0103681220649985,0.03,1.436,0.94,0.02,0.3663,1131.173,-0.693087380795405,0.743355131658395,0.0288218775879526
"alpha80",0.000725358922204077,-0.019,0.516,0.94,-0.02,0.1315,731.968,-0.27439713071296,0.241189858016916,-0.0186696746816711
"alpha81",0.00162979291664708,-0.005,0.512,0.95,-0.007,0.1304,771.652,-0.256228310248214,0.255758384643568,-0.00379764828050257
