"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha59",0.0299030118447201,0.029,0.503,0.98,-0.001,0.1282,795.562,-0.217829995224619,0.285286684888268,0.0300799458873907
"alpha6",0.0804057657644499,0.046,1.401,0.92,-0.035,0.3564,1244.782,-0.65811829473568,0.74289106983002,0.044000273251607
"alpha60",-0.00749611211118351,-0.013,0.493,0.96,-0.005,0.1254,817.795,-0.254369424830174,0.238728486514062,-0.01100171169345
"alpha61",0.0170797831437649,0.001,0.492,0.98,-0.016,0.1252,860.565,-0.240332043552501,0.252063930878638,0.0023552577342076
"alpha62",0.0251825600986534,0.002,0.498,0.98,-0.023,0.1275,827.947,-0.24470447077685,0.253366322978416,0.00316266314917202
"alpha63",-0.0223828233998213,0,0.495,0.92,0.022,0.126,811.437,-0.243427539532407,0.251092163314222,0.00114817642450167
"alpha64",-0.0210900781928119,-0.03,0.488,0.98,-0.009,0.1241,864.946,-0.272861480004315,0.21473120335432,-0.0295107095323715
"alpha65",-0.0199732092395906,-0.009,0.514,0.93,0.011,0.1305,789.644,-0.263661710429003,0.25013088671316,-0.00832044993493406
"alpha66",0.00299796529898905,0.012,0.507,0.96,0.009,0.1296,777.853,-0.235045944430441,0.272419046350472,0.0132466607835138
"alpha67",-0.00647723411605085,-0.008,0.509,0.96,-0.001,0.1298,789.819,-0.260283161195422,0.248930220487387,-0.00715627747060424
"alpha68",0.012915669718588,0.005,0.489,0.93,-0.008,0.1249,799.577,-0.234753437614333,0.254641157978998,0.00684130845833729
"alpha69",-0.0392232081515915,-0.034,0.51,0.97,0.005,0.1302,804.618,-0.286073043031035,0.224234322178727,-0.0334355799867151
"alpha7",-0.0257634630406582,-0.001,1.394,0.95,0.025,0.3552,1228.738,-0.705900981764873,0.687798138389622,-0.00279411534377185
"alpha70",0.00683405220231086,0.009,0.497,0.94,0.003,0.1265,790.731,-0.23389434327493,0.263539511815241,0.0110618280650231
"alpha71",0.0104562705787431,0.019,0.51,0.98,0.008,0.13,800.767,-0.230074708777642,0.279818654266142,0.0201421422006497
"alpha72",-0.0211320330423876,0.006,0.477,0.94,0.027,0.1219,820.384,-0.227176490994491,0.2499853170254,0.00738785772016374
"alpha73",0.0160714567666279,0.01,0.514,0.96,-0.006,0.1311,796.5,-0.240758551223628,0.272897785516263,0.012012835405831
"alpha74",-0.00211433885772526,-0.021,0.504,0.96,-0.019,0.1287,813.031,-0.271854108560802,0.232098438996174,-0.0207780453679559
"alpha75",-0.000696611796153585,0,0.503,0.96,0,0.1281,826.22,-0.246442932105203,0.256942358631961,0.000890045786973375
"alpha76",-0.011651951902144,-0.011,0.51,0.93,0.001,0.13,783.509,-0.261145183719173,0.249219692774882,-0.0102876747874057
"alpha77",0.0101873492627689,-0.002,0.512,0.98,-0.012,0.1302,825.027,-0.253439480642682,0.258066026139123,-0.000403789303067995
"alpha78",-0.00292176641815354,-0.008,0.497,0.94,-0.005,0.1272,780.292,-0.252216820672366,0.244287353519342,-0.00675060987795636
"alpha79",0.0115929247730122,0.006,0.497,0.96,-0.006,0.1265,762.114,-0.237763748788341,0.259079175826805,0.00672261523677987
"alpha8",0.0103681220649985,0.034,1.398,0.9,0.023,0.3552,1276.287,-0.666689735064383,0.731098060090705,0.0335645989448021
"alpha80",0.000725358922204077,-0.02,0.502,0.93,-0.021,0.1278,806.958,-0.268233412665845,0.233713069148074,-0.0188048103195275
"alpha81",0.00162979291664708,-0.004,0.5,0.94,-0.005,0.1278,806.826,-0.24695982359396,0.25285790667411,-0.00194542879880366
"alpha82",0.0407768562006772,0.032,0.522,0.97,-0.008,0.1329,762.18,-0.220071688074979,0.301461490046757,0.034646588156976
"alpha83",-0.00499709570831689,0.011,0.496,0.93,0.016,0.1262,787.984,-0.231195785082807,0.264461563042201,0.0126569164466548
"alpha84",-0.0464334910290286,-0.036,0.502,0.97,0.011,0.1281,787.768,-0.286897640815465,0.214893582740254,-0.0361922294213264
"alpha85",-0.00512549018791457,-0.002,0.502,0.94,0.003,0.1278,822.576,-0.250119164177888,0.251944295071914,-0.000957586803500165
"alpha86",-0.0020204483251752,0.007,0.494,0.98,0.009,0.1255,833.367,-0.234912409913853,0.258989863483538,0.00881698561843386
"alpha87",0.00101646199660054,-0.012,0.496,0.91,-0.014,0.1268,804.079,-0.258365801954865,0.2379876523197,-0.0118044204451794
