"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha50",0.0127874697107856,0.016,0.48,0.92,0.004,0.1219,502.953,-0.216623301925698,0.263008032644644,0.0181900002020105
"alpha51",0.00443416038873721,0.012,0.47,0.92,0.008,0.1199,522.768,-0.216110763009862,0.254075023414335,0.0139058104971648
"alpha52",-0.0352884416146494,-0.041,0.473,0.94,-0.005,0.1205,530.806,-0.277593435578531,0.195849008592069,-0.0408949866091051
"alpha53",0.0236404679971985,0.02,0.467,0.93,-0.004,0.1191,566.774,-0.208980855274728,0.257698034407354,0.0211043861818338
"alpha54",-0.0281814600660338,-0.016,0.484,0.89,0.012,0.1233,553.976,-0.254388649699577,0.22940114287477,-0.0148714707580521
"alpha55",0.00949672113252517,0,0.464,0.95,-0.01,0.1188,546.994,-0.228597676300357,0.234922887540255,0.000733446700335726
"alpha56",0.000684047609505942,-0.003,0.467,0.93,-0.004,0.1191,523.859,-0.227535381790946,0.239073295778343,-0.00120582389561433
"alpha57",-0.00621315945849334,-0.006,0.5,0.92,0.001,0.1271,513.802,-0.249242965243718,0.250776789027603,-0.00419718570904416
"alpha58",0.000664337972016385,0.005,0.469,0.92,0.004,0.1198,519.491,-0.223875752256792,0.245238815213142,0.00643745404996245
"alpha59",0.0299030118447201,0.029,0.471,0.97,-0.001,0.1206,502.797,-0.19964689549054,0.271805598898288,0.0301438369031007
"alpha6",0.0804057657644499,0.052,1.312,0.93,-0.029,0.3341,946.889,-0.608316581682758,0.703278745762045,0.0512185388468127
"alpha60",-0.00749611211118351,-0.011,0.465,0.91,-0.003,0.1187,533.154,-0.237351840353634,0.227715852954113,-0.00900021116769086
"alpha61",0.0170797831437649,0.002,0.461,0.94,-0.015,0.1172,548.247,-0.22534261958403,0.235328782442439,0.00262538665761226
"alpha62",0.0251825600986534,0.003,0.467,0.98,-0.023,0.1194,534.238,-0.226472858019694,0.240681731818904,0.00424367012126123
"alpha63",-0.0223828233998213,-0.001,0.465,0.9,0.022,0.1188,532.203,-0.227180484125908,0.237741164775096,0.000817714228179465
"alpha64",-0.0210900781928119,-0.034,0.455,0.92,-0.013,0.1162,525.898,-0.260464685102853,0.194964500158957,-0.0336244358855003
"alpha65",-0.0199732092395906,-0.01,0.481,0.88,0.01,0.123,545.213,-0.247196013669232,0.233583477688611,-0.00930069149896918
"alpha66",0.00299796529898905,0.011,0.476,0.93,0.008,0.1214,506.69,-0.21959475293435,0.256837683721687,0.0129353582185082
"alpha67",-0.00647723411605085,-0.006,0.485,0.97,0,0.1236,515.967,-0.245996889587444,0.239317758514338,-0.00558629877350903
"alpha68",0.012915669718588,0.005,0.45,0.92,-0.008,0.1149,521.423,-0.214105484179415,0.236145503787705,0.00682235444745466
"alpha69",-0.0392232081515915,-0.037,0.483,0.94,0.002,0.123,521.119,-0.274905517857183,0.207919171412892,-0.0358639611586174
"alpha7",-0.0257634630406582,-0.013,1.312,0.92,0.013,0.3349,962.972,-0.675852225575289,0.63594301381596,-0.0152131179311139
"alpha70",0.00683405220231086,0.008,0.465,0.89,0.001,0.1184,516.24,-0.218351337111546,0.246530391057148,0.00936883977273714
"alpha71",0.0104562705787431,0.022,0.483,0.92,0.012,0.1227,485.44,-0.21326037948239,0.269501429189971,0.0230276241691005
"alpha72",-0.0211320330423876,0.007,0.444,0.92,0.029,0.1133,509.099,-0.208543233177389,0.235825384551003,0.00887167175424695
"alpha73",0.0160714567666279,0.016,0.484,0.93,-0.001,0.1236,517.295,-0.222436426325786,0.261280630642215,0.0166648858754717
"alpha74",-0.00211433885772526,-0.03,0.482,0.93,-0.028,0.1229,534.087,-0.270847274704473,0.21094988165692,-0.0300944225097425
"alpha75",-0.000696611796153585,-0.001,0.473,0.94,0,0.1207,526.767,-0.231611547734882,0.240992403666415,0.000634859324430888
"alpha76",-0.011651951902144,-0.006,0.484,0.95,0.006,0.1239,528.923,-0.242199720254872,0.241427543426566,-0.00407835347238734
"alpha77",0.0101873492627689,-0.003,0.482,0.97,-0.013,0.1228,529.577,-0.239101523138298,0.243342661237925,-0.00151859069150091
"alpha78",-0.00292176641815354,-0.007,0.474,0.9,-0.004,0.1207,511.802,-0.237352664839673,0.236233908812895,-0.00531515032451711
